Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Link),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Last name Field is accepting numbers as Input under add new feature of Customers Module.,UNI-70,10077,Bug,To Do,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,,,,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,18/Feb/22 2:31 PM,18/Feb/22 2:39 PM,18/Feb/22 2:39 PM,,,0,addNewCustomers,"Last name Field is accepting numbers as Input under add new feature of Customers Module.

Steps to Reproduce -
1. Login to Uniform Website.
2. Go to the Customers Module.
3. Click on the Add new Button.
4. Input Alphanumeric Characters in Last name field.
5. Click on save button.

Input test Data -
asd123

Expected Result - 
Validation message ""Last name should only consist Alphabets"" should appear

Actual output - 
Input is accepted.

Screenshot -
  !image-2022-02-18-14-30-42-850.png|thumbnail! ",,Shashank Kumar,620b3069e41f76006a6cb2b6,,,,,,,,,,UNI-63,,,,,,18/Feb/22 2:30 PM;ug:a25fff83-0245-4391-bffa-57d51986e181;image-2022-02-18-14-30-42-850.png;https://ibmhaldia11.atlassian.net/secure/attachment/10008/image-2022-02-18-14-30-42-850.png,,,,,,{},,,,0|i000j3:,,UNI Sprint 1,,,,,,,,To Do
Customer Group Name Field is accepting Every Special Characters in Customer Groups Module.,UNI-69,10076,Bug,To Do,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,,,,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,18/Feb/22 1:14 PM,18/Feb/22 2:38 PM,18/Feb/22 2:38 PM,,,0,CustomerGroups,"Customer Group Name Field is accepting Every Special Characters in Customer Groups Module.

Steps to reproduce - 
1. Log in to the uniform Website.
2. Go to the Customer Groups Module.
3. Click on the add new Button.
4. Type Special Character input under Customer Group name Module.
5. Click on save button.

Expected Output -
Validation message ""Customer Group name should only contain Alphanumeric and underscore"" should appear.

Actual Output -
Input is being accepted.

Test data -
#123+

Screenshot -
 !image-2022-02-18-13-13-32-607.png|thumbnail! ",,Shashank Kumar,620b3069e41f76006a6cb2b6,,,,,,,,,,UNI-52,,,,,,18/Feb/22 1:13 PM;ug:a25fff83-0245-4391-bffa-57d51986e181;image-2022-02-18-13-13-32-607.png;https://ibmhaldia11.atlassian.net/secure/attachment/10007/image-2022-02-18-13-13-32-607.png,,,,,,{},,,,0|i000iv:,,UNI Sprint 1,,,,,,,,To Do
Firstname field is accepting Special Characters in add new feature under Customers Module.,UNI-68,10075,Bug,To Do,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,,,,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,18/Feb/22 12:59 PM,18/Feb/22 2:38 PM,18/Feb/22 2:38 PM,,,0,addNewCustomers,"Firstname field is accepting Special Characters in add new feature under Customers Module.

Steps to reproduce -
1. Login to the Uniform Website.
2. Go to the Customers Module.
3. Click on the add new Button.
4. Write Special Character inside First name field.
5. Click on save button.

Test Data -

#

Expected Result -
Validation message ""First name should only contain Alphabets"" should appear.

Actual Result -
Input is being accepted.

Screenshot - 

!image-2022-02-18-12-58-56-821.png|width=200,height=183!

 ",,Shashank Kumar,620b3069e41f76006a6cb2b6,,,,,,,,,,UNI-62,,,,,,18/Feb/22 12:59 PM;ug:a25fff83-0245-4391-bffa-57d51986e181;image-2022-02-18-12-58-56-821.png;https://ibmhaldia11.atlassian.net/secure/attachment/10006/image-2022-02-18-12-58-56-821.png,,,,,,{},,,,0|i000fr:,,UNI Sprint 1,,,,,,,,To Do
First name field is accepting Alphanumeric Characters in add new Section in Customers Module.,UNI-67,10074,Bug,To Do,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,,,,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,18/Feb/22 12:51 PM,18/Feb/22 2:38 PM,20/Feb/22 12:52 PM,,,0,addNewCustomers,"The first name field is accepting Alphanumeric Characters in add new Section in Customers Module.

Steps to Reproduce -
1. Log in to the Uniform website.
2. Go to the Customers Module.
3. Click on the add new button.
4. Give Alphanumeric Input in First name Field.
5. Click on the Save Button.

Test Data -

abcd1234

Expected Result -
Validation message "" First name should only contain Alphabets"" should appear.

Actual Result - 
Input is being accepted.

Screenshot -

!image-2022-02-18-12-50-20-780.png|width=200,height=183!

 ",,Shashank Kumar,620b3069e41f76006a6cb2b6,,,,,,,,,,UNI-61,,,,,,18/Feb/22 12:50 PM;ug:a25fff83-0245-4391-bffa-57d51986e181;image-2022-02-18-12-50-20-780.png;https://ibmhaldia11.atlassian.net/secure/attachment/10005/image-2022-02-18-12-50-20-780.png,,,,,,{},,,,0|i000fj:,,UNI Sprint 1,,,,,,,,To Do
Last name field is accepting Special Characters.,UNI-66,10073,Bug,To Do,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,,,,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,18/Feb/22 12:41 PM,18/Feb/22 2:38 PM,18/Feb/22 4:23 PM,,,0,,"The last name field in the customer module is accepting Special characters.

Steps to reproduce - 
1. Login to the Uniform Website.
2. Go to the Customers Module.
3. Click on the add new Button.
4. Give special character input in Lastname field.

Test Data -

#

Expected Result - 
Validation message ""Last name can only consist Alphabets"" should appear.

Actual Result - 
Special Character Input is accepted.

Screenshot -

!image-2022-02-18-12-39-54-951.png|width=200,height=183!

 ",,Shashank Kumar,620b3069e41f76006a6cb2b6,,,,,,,,,,UNI-64,,,,,,18/Feb/22 12:40 PM;ug:a25fff83-0245-4391-bffa-57d51986e181;image-2022-02-18-12-39-54-951.png;https://ibmhaldia11.atlassian.net/secure/attachment/10004/image-2022-02-18-12-39-54-951.png,,,,,,{},,,,0|i000fb:,,UNI Sprint 1,,,,,,,,To Do
"As a user, I want to add new customer Groups to make groups of customers.",UNI-65,10072,Story,In Progress,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,18/Feb/22 12:05 PM,18/Feb/22 3:37 PM,18/Feb/22 2:57 PM,,,0,CustomerGroups,"Acceptance criteria -

# Valid Inputs should Work in each field.
# Save button should validate all the fields and create a new customer group.",,Shashank Kumar,620b3069e41f76006a6cb2b6,,,,,,,,,,UNI-69,,,,,,,,,,,,{},,,,0|i000b7:,,UNI Sprint 1,,,,,,,,In Progress
Verify the Lastname field with Special Characters,UNI-64,10071,Test,In Progress,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:54 AM,18/Feb/22 3:09 PM,18/Feb/22 3:03 PM,,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-66,UNI-1,,,,,,,,,,,{},,,,0|i000k7:,,UNI Sprint 1,,,,,,,,In Progress
Verify the Lastname field with Alphanumeric Characters,UNI-63,10070,Test,In Progress,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:54 AM,18/Feb/22 3:09 PM,18/Feb/22 2:32 PM,,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i000jz:,,UNI Sprint 1,,,,,,,,In Progress
Verify the Firstname field with Special Characters,UNI-62,10069,Test,In Progress,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:54 AM,18/Feb/22 3:09 PM,18/Feb/22 12:06 PM,,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i000jr:,,UNI Sprint 1,,,,,,,,In Progress
Verify the Firstname field with Alphanumeric Characters,UNI-61,10068,Test,In Progress,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:54 AM,18/Feb/22 3:09 PM,18/Feb/22 12:06 PM,,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-67,UNI-1,,,,,,,,,,,{},,,,0|i000jj:,,UNI Sprint 1,,,,,,,,In Progress
Verify the Sort order field Placeholder,UNI-60,10067,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:53 AM,18/Feb/22 2:46 PM,21/Feb/22 9:51 AM,18/Feb/22 1:04 PM,,0,CustomerGroups,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-65,,,,,,,,,,,,{},,,,0|i000in:,,UNI Sprint 1,,,,,,,,Done
Verify the Sort order Field with alphanumeric Characters,UNI-59,10066,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:53 AM,18/Feb/22 2:46 PM,21/Feb/22 9:51 AM,18/Feb/22 1:04 PM,,0,CustomerGroups,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-65,,,,,,,,,,,,{},,,,0|i000if:,,UNI Sprint 1,,,,,,,,Done
Verify the Approve New Customers Field Type,UNI-58,10065,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:53 AM,18/Feb/22 2:46 PM,21/Feb/22 9:51 AM,18/Feb/22 1:04 PM,,0,CustomerGroups,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-65,,,,,,,,,,,,{},,,,0|i000i7:,,UNI Sprint 1,,,,,,,,Done
Verify the Approve New Customers field Options,UNI-57,10064,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:53 AM,18/Feb/22 2:46 PM,21/Feb/22 9:51 AM,18/Feb/22 1:04 PM,,0,CustomerGroups,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-65,,,,,,,,,,,,{},,,,0|i000hz:,,UNI Sprint 1,,,,,,,,Done
Verify the Approve New Customers Default option,UNI-56,10063,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:53 AM,18/Feb/22 2:46 PM,21/Feb/22 9:51 AM,18/Feb/22 1:04 PM,,0,CustomerGroups,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-65,,,,,,,,,,,,{},,,,0|i000hr:,,UNI Sprint 1,,,,,,,,Done
Verify the Description Field Placeholder,UNI-55,10062,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:53 AM,18/Feb/22 2:46 PM,21/Feb/22 9:51 AM,18/Feb/22 1:04 PM,,0,CustomerGroups,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-65,,,,,,,,,,,,{},,,,0|i000hj:,,UNI Sprint 1,,,,,,,,Done
Verify the Description field with Alphanumeric Characters,UNI-54,10061,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:53 AM,18/Feb/22 2:46 PM,21/Feb/22 9:51 AM,18/Feb/22 1:04 PM,,0,CustomerGroups,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-65,,,,,,,,,,,,{},,,,0|i000hb:,,UNI Sprint 1,,,,,,,,Done
Verify the Customer Group Name field Placeholder,UNI-53,10060,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:53 AM,18/Feb/22 2:46 PM,21/Feb/22 9:51 AM,18/Feb/22 1:04 PM,,0,CustomerGroups,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-65,,,,,,,,,,,,{},,,,0|i000h3:,,UNI Sprint 1,,,,,,,,Done
Verify the Customer Group Name field with special Characters,UNI-52,10059,Test,In Progress,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:53 AM,18/Feb/22 3:09 PM,21/Feb/22 9:51 AM,,,0,CustomerGroups,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-65,,,,,,,,,,,,{},,,,0|i000jb:,,UNI Sprint 1,,,,,,,,In Progress
Verify the Customer Group Name field with numeric Characters,UNI-51,10058,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:53 AM,18/Feb/22 2:46 PM,21/Feb/22 9:51 AM,18/Feb/22 1:04 PM,,0,CustomerGroups,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-65,,,,,,,,,,,,{},,,,0|i000gv:,,UNI Sprint 1,,,,,,,,Done
Verify the Customer Group name with more than 32 characters,UNI-50,10057,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:53 AM,18/Feb/22 2:46 PM,21/Feb/22 9:51 AM,18/Feb/22 1:04 PM,,0,CustomerGroups,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-65,,,,,,,,,,,,{},,,,0|i000gn:,,UNI Sprint 1,,,,,,,,Done
